platform,totalShows,movies,series,subscribers_mil,revenue_bil,genre,genre_count,market_share_pct,yearly_growth_count,originalContent_pct,userRating,criticalAcclaim_pct,globalReach_pct,contentDiversity_pct,dailyActiveUsers_mil,avgWatchTime_hrs,retention_pct,satisfaction_rating,ageGroup,ageGroup_pct,country,country_rating,country_subscribers,avgBudget_mil,originalBudget_mil,totalSpend_bil,month,monthly_releases,avgWatchTimeByGenre_mins
Amazon Prime,11122,1943,2914,200,25.71,Action,1383,6.02,6971,72.4,8.93,87,91,91,65,4.27,98,3.89,45-54,32,Australia,7.2,35284104,11.54,28.61,7.05,Jul,50,53
Amazon Prime,10433,6098,2705,90,7.72,Action,1394,47.7,4354,83.79,8.75,67,76,74,72,2.77,91,4.99,45-54,20,Japan,7.44,14337381,11.54,15.92,9.29,Dec,7,44
Netflix,4844,3470,3667,23,30.05,Comedy,1066,14.55,14980,77.09,6.62,55,88,92,60,1.95,83,3.49,45-54,12,South Korea,7.28,72503885,9.76,13.81,9.84,Oct,15,68
Netflix,16848,10221,725,133,12.34,Comedy,1970,16.47,7663,65.51,8.38,68,78,62,68,1.17,73,4.53,18-24,12,South Korea,8.02,50477252,15.14,14.88,14.8,Mar,51,39
Netflix,16803,13630,2890,174,12.43,Animation,159,5.52,17661,81.19,6.54,84,86,60,84,3.74,96,4.45,35-44,25,Brazil,7.54,65140645,9.07,22.6,15.33,Aug,31,34
Netflix,8079,14452,2925,65,19.96,Drama,1606,36.2,12490,61.28,7.78,50,93,62,89,4.06,71,3.08,25-34,33,Germany,8.22,10033334,6.59,22.67,19.3,Oct,49,47
Amazon Prime,5886,7063,3366,65,0.59,Action,752,20.66,7222,64.95,6.85,52,90,78,89,3.79,76,3.11,45-54,10,Canada,8.42,34032643,16.73,20.25,9.61,Aug,8,48
Netflix,4324,11592,763,77,1.22,Romance,1421,57.34,12296,92.15,8.74,69,76,67,82,1.29,76,3.28,55+,12,South Korea,8.43,33488145,10.63,28.71,10.42,Jun,10,35
Netflix,4714,8716,3911,14,31.74,Documentary,1635,10.79,3048,87.63,7.86,77,74,68,99,4.38,85,3.9,55+,29,Japan,7.55,67095100,10.84,29.04,14.18,Jun,49,25
Disney+,8919,12113,3228,97,24.07,Comedy,222,40.05,15220,71.16,9.24,53,87,96,88,4.45,91,3.82,35-44,27,India,8.18,70745748,16.36,12.49,15.52,Jun,19,41
Amazon Prime,13207,6815,2450,170,32.83,Drama,1472,37.68,5880,72.07,8.14,76,94,99,97,2.3,95,4.5,18-24,5,Japan,7.1,29456081,6.28,23.37,5.58,Nov,12,43
Netflix,12741,14963,729,172,30.76,Action,1797,57.87,2279,66.69,6.47,81,89,71,82,4.41,97,3.41,55+,10,Brazil,7.82,54526767,10.11,20.27,5.22,Jun,33,67
Disney+,7906,3059,1849,76,8.57,Comedy,1649,40.92,10750,81.64,8.83,61,92,64,93,4.12,92,4.46,25-34,20,United Kingdom,7.39,73994455,16.32,21.39,13.24,Nov,17,46
Amazon Prime,5457,1181,1741,160,31.31,Romance,1050,59.3,15593,88.03,8.24,57,97,71,64,2.78,92,3.28,25-34,5,South Korea,7.05,54341072,17.23,17.91,15.85,Nov,39,46
Netflix,6397,1776,3675,216,27.88,Comedy,523,18.87,14071,84.66,9.44,52,85,65,80,3.42,96,4.4,55+,20,United Kingdom,8.86,8309764,9.27,19.01,5.32,Mar,11,65
Netflix,14385,8938,2931,50,5.44,Drama,1551,19.01,4176,86.84,8.28,52,81,93,84,3.39,80,3.84,45-54,30,India,7.92,6192958,10.06,19.44,8.01,Jul,9,64
Amazon Prime,9326,3304,1144,139,16.29,Documentary,1185,27.79,13632,70.46,6.49,54,82,76,56,1.04,100,4.46,18-24,32,India,7.87,72180416,8.49,16.05,5.4,Feb,32,38
Netflix,2308,10177,4887,205,18.23,Animation,550,46.6,967,83.28,6.91,53,79,77,82,1.05,92,4.02,35-44,32,South Korea,8.0,60613579,16.57,28.12,19.85,Dec,42,42
Amazon Prime,14933,944,4567,34,33.12,Comedy,649,38.37,15523,85.71,9.29,89,85,69,74,1.14,86,4.96,25-34,34,Australia,7.79,24991521,17.52,14.03,11.93,Oct,5,32
Netflix,4533,5079,462,38,3.76,Drama,1419,43.87,2480,60.82,6.77,70,93,98,97,3.72,99,4.89,45-54,26,Brazil,7.53,21410701,6.1,23.51,14.86,Dec,14,52
Disney+,6143,3577,1906,205,5.33,Documentary,1003,15.01,3969,90.48,7.53,50,99,79,100,1.98,81,3.95,35-44,30,Australia,7.83,41167185,14.59,19.8,7.3,May,30,70
Disney+,12568,3394,875,19,10.67,Drama,626,34.79,12896,92.5,8.35,76,87,100,71,3.7,92,4.07,25-34,28,Canada,8.33,61592756,11.54,25.82,8.67,Apr,23,39
Disney+,12650,11868,3120,155,26.44,Documentary,1527,12.22,12329,69.47,7.92,50,76,84,89,1.97,83,3.14,55+,18,Brazil,7.06,15109969,8.02,11.43,10.35,Apr,9,27
Amazon Prime,9113,3727,1572,60,17.98,Comedy,225,10.25,17518,92.74,9.34,68,92,71,91,3.15,80,4.43,55+,8,Canada,8.03,67340652,6.83,14.74,10.28,Jan,45,33
Netflix,4865,3502,2912,131,16.79,Action,373,52.42,3373,63.9,6.64,84,88,85,97,3.43,75,4.64,25-34,16,Germany,7.34,3998843,12.6,22.2,5.37,Mar,47,37
Netflix,7450,13758,4980,229,21.75,Horror,645,46.84,5718,65.37,8.57,56,97,86,51,4.26,91,4.11,35-44,12,United States,8.95,55227241,9.24,13.39,16.6,Feb,33,42
Netflix,10764,8742,856,207,23.32,Documentary,779,27.6,2214,77.62,8.25,79,74,66,75,3.58,70,4.67,45-54,13,Australia,7.65,26309522,8.16,19.97,16.06,Nov,15,60
Disney+,16026,6845,2002,199,19.8,Animation,1775,11.29,12325,94.83,7.35,55,90,93,56,2.82,74,4.29,18-24,14,Australia,7.37,30908423,15.84,22.1,18.63,Apr,22,65
Netflix,16261,5325,2078,122,9.32,Documentary,107,48.48,14367,86.2,8.29,74,100,100,50,1.33,95,3.57,25-34,13,France,8.29,3264721,16.74,21.77,5.34,Jul,41,67
Disney+,3940,5461,4311,159,20.06,Comedy,1145,45.42,10661,67.83,6.81,66,100,97,62,4.36,74,3.25,55+,14,Canada,7.54,48434138,17.53,16.23,18.28,Sep,54,45
Disney+,15878,1103,2781,199,32.51,Animation,443,58.05,8331,84.67,7.9,55,78,73,87,3.82,98,3.9,45-54,12,United Kingdom,8.75,36598593,13.3,28.47,12.66,Jun,26,44
Disney+,12521,4051,3652,183,16.84,Comedy,1177,25.52,2038,73.18,6.13,53,97,60,53,2.57,89,3.32,55+,28,Canada,8.46,61582380,8.09,18.52,5.64,Jul,43,48
Amazon Prime,16576,5874,1547,191,24.23,Romance,1606,9.53,9799,69.74,8.85,86,83,62,78,2.14,74,3.18,55+,22,United States,8.6,19745607,9.84,28.15,15.34,Mar,20,68
Netflix,14271,8793,2384,20,26.54,Animation,1848,18.21,2335,73.05,8.49,84,94,80,75,1.62,94,4.34,25-34,35,South Korea,8.18,70781441,9.96,12.19,11.74,Jul,30,67
Netflix,9400,13243,1585,78,17.52,Documentary,856,26.91,10426,91.26,8.99,70,73,89,75,1.59,74,3.35,45-54,8,Australia,7.42,51005397,19.01,15.83,8.59,Apr,22,69
Netflix,4842,3147,3737,98,32.62,Drama,929,9.67,17237,79.09,8.98,67,99,65,91,1.31,98,4.21,18-24,21,Brazil,7.35,13734967,8.58,29.1,7.55,Oct,25,69
Amazon Prime,7636,5894,531,129,21.88,Horror,1223,25.75,1200,81.69,7.21,84,89,74,50,2.03,78,4.54,35-44,25,France,7.49,44179713,18.92,27.84,5.99,Oct,16,43
Amazon Prime,15306,14128,3266,133,5.56,Action,775,51.49,13257,79.52,9.24,80,84,90,93,2.61,86,3.6,35-44,11,United States,8.71,33113821,15.46,17.91,10.34,Jul,47,74
Disney+,8767,10024,1122,24,9.6,Horror,626,34.77,16591,66.98,7.49,61,96,60,86,1.23,71,4.72,55+,27,France,7.69,60731323,8.86,27.5,10.79,May,19,37
Netflix,16544,14404,3634,197,19.31,Documentary,331,43.02,7007,68.4,6.7,79,85,98,80,2.64,72,3.53,18-24,29,Brazil,8.45,8605611,9.25,10.79,10.54,Aug,18,45
Amazon Prime,10740,14259,466,110,0.89,Romance,505,56.31,8416,76.56,8.76,78,78,100,92,2.38,80,4.15,25-34,23,France,8.68,19814901,17.11,23.59,7.19,Nov,31,63
Netflix,1515,14700,1237,97,6.83,Comedy,1986,12.56,12005,84.36,7.74,79,100,100,64,1.98,93,3.33,35-44,28,Germany,7.82,61397486,8.59,18.44,9.42,Aug,36,62
Netflix,1992,5079,2389,157,13.7,Comedy,1955,16.41,15426,94.15,8.72,66,81,86,53,4.48,82,4.64,55+,26,Germany,7.34,22736005,10.74,19.55,5.06,Aug,48,74
Netflix,13106,8206,763,153,31.92,Drama,560,34.31,15331,80.1,8.85,89,80,65,55,4.48,100,3.64,35-44,9,Germany,7.36,52389117,17.74,12.31,8.95,Oct,24,26
Amazon Prime,11148,4858,1203,95,29.88,Drama,585,53.82,7570,92.25,6.03,74,81,96,77,2.49,81,4.75,45-54,27,Australia,8.04,74927076,12.08,28.39,12.77,Jul,38,72
Amazon Prime,10451,13297,4812,144,28.68,Comedy,444,18.99,2620,92.36,6.67,51,97,63,69,1.62,86,4.22,35-44,30,Brazil,8.31,43021462,16.21,25.77,10.8,Mar,8,41
Netflix,11618,8243,3022,117,16.59,Animation,942,32.44,658,76.68,8.52,73,88,81,81,4.35,74,3.91,25-34,7,United States,8.91,70092571,17.38,17.98,6.25,Oct,32,30
Disney+,1705,3790,3370,52,5.29,Romance,999,49.94,3402,71.68,8.99,90,94,62,73,2.93,70,4.09,18-24,24,South Korea,7.19,25351732,18.6,26.02,14.39,Jun,30,50
Netflix,1793,3244,2383,165,20.89,Romance,1462,30.52,13953,63.67,9.18,84,72,89,51,2.91,88,3.36,25-34,25,France,8.34,25229138,19.79,22.28,12.45,Jun,5,36
Disney+,6883,10159,804,135,20.28,Drama,1580,5.8,7742,61.55,6.08,57,90,74,85,2.17,81,3.22,18-24,18,Brazil,8.0,25888335,15.37,19.99,13.17,Nov,47,64
Netflix,15279,11725,3743,150,34.83,Action,819,41.78,16936,89.22,8.93,62,94,84,85,1.14,91,4.05,55+,23,Japan,7.9,39212857,12.53,10.53,7.17,Jan,21,45
Amazon Prime,2959,9805,1224,34,5.8,Horror,781,19.81,12842,61.75,6.07,59,82,78,61,3.85,91,4.28,55+,30,Brazil,7.68,7873391,13.85,27.41,18.09,Feb,6,62
Amazon Prime,13460,12348,1551,159,7.24,Romance,1621,32.83,11307,73.87,6.31,63,78,88,53,2.24,96,3.93,55+,7,France,8.97,66996203,11.57,10.57,12.15,Dec,39,69
Netflix,8845,2376,2650,126,14.33,Animation,1804,15.95,6523,61.59,7.43,82,71,85,69,3.17,92,3.43,25-34,17,Australia,8.12,51133305,9.86,14.49,11.31,Feb,29,28
Netflix,1867,10722,1993,97,6.38,Horror,914,14.97,10464,93.13,8.13,55,93,74,82,4.38,98,3.6,35-44,6,South Korea,8.25,48143461,18.96,13.34,13.34,May,19,42
Amazon Prime,16492,9980,484,10,20.77,Action,1860,14.7,9008,86.26,9.25,64,92,67,50,2.83,80,3.75,55+,17,Australia,8.09,3327276,18.52,26.58,12.93,Jul,42,39
Netflix,11954,6268,1258,176,11.87,Drama,261,54.73,1617,71.39,9.34,73,85,69,73,2.12,89,3.4,35-44,14,France,7.11,26712869,13.61,29.23,18.76,Nov,5,51
Disney+,15694,3326,4674,84,7.17,Action,1593,35.16,4669,73.69,6.82,76,84,73,78,2.21,74,4.62,55+,26,Germany,7.02,22359379,15.48,26.32,18.66,Mar,23,37
Disney+,6242,11209,4280,37,6.05,Drama,1561,31.76,14171,68.47,9.2,65,90,86,67,1.6,95,3.83,35-44,16,South Korea,7.64,56631702,8.87,12.61,15.43,Feb,34,72
Netflix,6383,9596,835,163,7.66,Animation,1873,51.58,3587,67.12,8.08,75,95,62,91,3.08,92,4.96,35-44,29,France,8.6,11993084,15.7,19.27,10.9,Sep,12,40
Disney+,14590,4132,2136,108,24.55,Drama,717,16.38,8330,91.86,6.19,80,97,62,55,2.35,82,4.0,55+,5,Japan,8.61,20320042,14.19,26.89,19.84,Jun,36,45
Netflix,7706,13868,1531,88,22.18,Comedy,1261,31.84,2435,65.35,7.68,77,97,89,54,2.75,83,4.58,18-24,15,Japan,7.31,33346693,7.61,25.78,12.58,Jul,18,41
Netflix,15412,13787,4360,84,15.65,Romance,864,33.55,16938,61.61,8.83,73,90,98,89,4.1,85,3.55,18-24,20,Germany,7.83,65757796,14.47,23.62,5.22,May,47,25
Disney+,11738,11940,3117,23,8.98,Drama,1326,12.73,7784,89.35,8.62,77,89,91,78,2.51,78,3.3,45-54,27,Japan,7.64,59319451,10.23,26.78,7.5,Sep,28,33
Disney+,15514,4669,2174,75,10.17,Horror,376,29.5,5577,77.63,8.67,80,93,97,87,2.53,87,3.31,18-24,35,Canada,8.88,60302142,13.57,11.74,5.44,May,38,56
Netflix,5896,12052,2193,88,1.06,Drama,1936,46.78,9414,78.33,6.63,85,91,61,70,3.16,83,3.96,18-24,10,Australia,8.44,33480431,14.52,13.73,7.71,Jul,41,47
Disney+,4328,9684,4766,173,14.23,Action,1633,49.16,3752,83.48,6.27,84,99,64,90,4.45,89,3.34,35-44,11,United States,8.0,4008881,17.59,20.56,10.13,Apr,21,69
Disney+,9665,3052,4844,98,22.66,Romance,639,55.47,15071,63.49,6.07,59,80,75,100,3.48,70,3.82,18-24,30,United States,7.24,13773716,7.2,18.72,16.85,Feb,25,38
Netflix,12400,10360,1840,37,13.39,Documentary,292,37.94,11708,77.4,8.5,63,90,67,86,4.46,99,4.79,18-24,5,Germany,7.36,42216532,17.47,18.81,14.3,Sep,22,43
Amazon Prime,11933,3680,3282,23,30.92,Horror,187,42.52,4502,75.69,8.49,78,74,69,91,1.98,79,3.04,18-24,17,United Kingdom,8.18,69843061,8.71,25.11,6.03,Sep,16,69
Netflix,3973,13922,1878,148,30.3,Drama,1569,36.04,775,80.75,7.45,80,96,87,86,2.61,74,4.63,55+,31,Japan,7.15,45655163,13.32,19.31,6.8,Apr,51,40
Netflix,12018,11404,1679,121,17.2,Documentary,1422,54.82,8308,90.2,7.7,61,98,69,75,3.7,98,4.19,55+,18,Germany,8.9,15296913,19.92,29.24,5.66,Jan,7,56
Disney+,9829,10936,1459,125,1.16,Romance,1702,27.11,16648,73.68,6.36,87,80,71,81,3.78,75,3.84,25-34,25,United Kingdom,7.53,52605576,16.91,16.83,9.05,May,18,56
Amazon Prime,15647,5357,3736,39,29.92,Romance,533,49.69,12318,71.1,9.04,62,76,93,99,1.4,88,3.72,45-54,7,United States,7.44,3777135,8.6,13.37,17.35,Nov,45,45
Disney+,9053,4198,3754,177,31.52,Horror,1010,32.46,12798,83.59,8.23,73,98,71,53,2.12,72,4.23,55+,15,South Korea,7.88,19384223,14.33,21.81,12.27,Mar,7,47
Disney+,5924,3468,2640,151,32.79,Animation,1256,38.21,1790,92.44,9.49,77,90,75,92,2.64,71,4.17,18-24,11,Australia,8.75,20323891,6.6,22.13,9.03,Nov,13,47
Netflix,6842,7287,1585,220,16.42,Romance,460,39.59,7061,78.81,7.42,69,100,89,98,2.9,94,3.29,35-44,30,United States,8.85,16183929,19.08,12.12,8.2,Dec,5,30
Disney+,16203,2809,516,43,11.73,Documentary,644,54.0,16543,71.06,7.46,74,94,86,68,2.85,70,4.8,25-34,33,Australia,7.26,32631839,10.88,21.06,11.35,Jun,40,70
Disney+,7598,13411,1293,144,14.75,Animation,421,31.41,10828,86.46,9.09,84,77,79,64,4.19,96,4.05,25-34,35,Japan,7.05,46467009,9.81,20.01,7.07,Oct,55,32
Netflix,9032,6780,3680,171,8.78,Horror,824,50.95,2173,78.64,6.19,56,86,96,89,3.35,83,3.95,35-44,5,Germany,8.83,9455882,9.29,26.09,11.24,Nov,51,47
Netflix,15370,10249,2625,133,22.97,Action,1190,59.13,2988,72.84,8.95,56,80,85,71,4.17,95,4.76,55+,11,India,8.02,27986548,13.94,18.95,13.84,Jul,48,69
Disney+,13749,6411,4839,97,21.14,Documentary,1786,22.06,13362,76.18,7.96,55,72,65,55,1.87,87,3.38,55+,26,Germany,7.65,57082137,5.68,14.13,16.55,Jul,26,36
Amazon Prime,10820,4418,2307,203,10.62,Drama,1219,30.01,10722,84.26,7.38,66,98,68,67,3.74,89,4.07,25-34,23,Japan,7.3,4966386,18.27,19.01,12.37,May,44,41
Amazon Prime,5713,8263,2858,216,22.24,Romance,1260,39.92,1783,83.21,6.45,71,78,94,56,4.24,92,4.38,35-44,35,Brazil,7.06,35266515,16.98,23.61,15.06,Jul,31,35
Disney+,16155,6493,1642,113,28.52,Comedy,1734,53.9,6450,74.18,9.48,54,70,74,79,3.58,82,3.47,35-44,27,Brazil,8.18,16601249,19.8,25.23,7.18,Jul,26,32
Amazon Prime,1401,9792,1988,101,6.53,Action,1967,36.79,15692,78.3,8.24,64,94,68,88,2.32,80,4.13,45-54,28,Canada,8.95,37878431,9.28,24.7,15.01,Mar,33,62
Disney+,15198,5759,2145,173,3.89,Romance,1650,41.92,4260,94.31,9.1,59,99,71,94,3.31,73,3.95,55+,16,United States,8.74,72601661,16.96,10.88,18.25,Mar,16,60
Netflix,13275,7392,3864,188,28.89,Drama,189,29.05,12232,82.38,8.2,84,83,60,83,1.9,97,3.21,45-54,15,Japan,7.09,57396503,6.42,21.47,7.67,Apr,11,54
Disney+,1305,13990,4458,137,32.62,Comedy,1250,51.39,3274,63.47,7.74,52,75,74,55,4.02,78,3.85,18-24,13,France,8.23,55368131,6.06,26.72,5.83,Aug,27,55
Netflix,13199,14460,3772,19,17.02,Comedy,1598,35.33,14141,84.24,6.22,51,73,67,68,4.06,90,5.0,35-44,11,Brazil,7.95,54727975,8.68,23.9,8.97,Jul,44,46
Disney+,16120,3366,1579,207,19.2,Romance,435,57.79,7863,67.91,7.65,53,95,93,84,2.11,91,4.49,25-34,21,Canada,7.75,3835958,10.64,18.54,12.97,Nov,55,44
Amazon Prime,1132,11938,1707,8,29.96,Romance,1145,16.53,13469,60.45,8.76,71,70,69,77,3.75,81,3.34,18-24,15,France,8.65,74422342,7.0,24.44,6.78,Jul,9,72
Disney+,16541,3885,4499,216,10.32,Horror,124,41.98,11462,73.16,6.6,82,87,93,76,2.68,92,3.67,45-54,23,United Kingdom,7.82,74897623,11.58,28.2,8.48,Sep,38,64
Disney+,1601,3915,2390,173,32.54,Action,1238,16.4,4305,76.57,7.38,67,77,65,84,4.1,86,3.21,18-24,30,South Korea,8.52,60171044,5.9,18.95,12.29,Mar,30,52
Disney+,2396,10164,1070,187,24.38,Horror,1053,28.49,4285,71.04,8.74,87,74,83,74,3.18,83,3.61,35-44,7,United States,8.5,16746875,18.07,10.27,8.01,Sep,22,72
Disney+,2773,8402,3321,132,25.03,Animation,1716,52.98,1528,78.44,8.78,65,85,86,92,2.98,85,3.19,55+,22,United States,7.63,57384182,5.97,15.61,18.31,Jul,34,28
Amazon Prime,15708,14837,3236,75,29.03,Action,1293,21.85,5441,64.13,7.01,79,97,60,92,2.68,93,3.0,45-54,33,South Korea,8.18,57668038,14.06,18.06,5.06,Feb,27,50
Disney+,9114,3277,1470,78,6.56,Action,1165,46.49,7227,82.52,8.23,79,82,71,88,2.69,76,4.15,55+,34,Japan,7.6,33489199,12.35,20.12,15.43,Jun,32,43
Disney+,7783,12657,2637,223,18.41,Drama,437,8.08,16279,92.23,8.38,80,83,60,57,1.36,99,3.3,55+,27,United States,8.26,62143401,14.46,12.84,6.19,Aug,53,28
Amazon Prime,6015,9487,3518,228,14.84,Documentary,565,9.48,659,90.52,7.74,59,84,67,76,1.62,70,3.41,45-54,31,Canada,8.79,47775284,11.62,16.42,17.59,Aug,36,72
Disney+,15838,11042,4768,119,16.42,Animation,1156,12.89,9293,67.4,6.45,78,71,79,51,4.36,73,3.01,55+,25,South Korea,7.89,71915457,6.5,24.94,16.34,Mar,22,35
Disney+,1862,12088,3602,61,11.13,Horror,936,22.23,8775,76.49,6.96,84,93,83,71,1.62,76,3.38,18-24,10,India,7.53,61071216,5.65,19.07,7.09,Jul,54,29
Disney+,2170,3437,3910,165,6.86,Action,1256,56.27,6615,74.5,6.66,70,79,71,68,3.85,78,4.75,18-24,8,United Kingdom,8.57,66661463,15.38,15.99,15.54,Mar,52,32
Netflix,14327,12621,1768,142,22.79,Romance,1796,5.54,4936,78.07,8.95,60,86,66,55,3.48,73,3.2,25-34,10,Germany,8.35,45981534,12.81,25.46,9.53,May,27,35
Disney+,14064,6109,434,19,25.67,Horror,1269,11.88,9009,85.57,7.58,57,88,91,65,4.48,100,3.11,55+,12,Germany,7.53,59326072,9.57,11.98,16.53,Feb,8,39
Amazon Prime,6754,3927,1395,181,19.37,Drama,858,17.48,13248,65.04,9.21,73,93,88,91,2.69,73,3.15,25-34,23,Japan,8.39,51488636,15.59,17.25,14.78,Feb,49,54
Amazon Prime,12709,13275,618,76,1.87,Animation,874,8.76,11025,86.67,6.61,50,97,88,57,3.94,74,4.11,25-34,35,Brazil,7.75,4467268,7.41,18.39,10.7,Nov,39,43
Disney+,12805,14268,246,187,0.95,Action,1360,28.15,13675,60.73,8.88,75,97,97,57,2.37,93,3.3,45-54,7,United States,7.23,4883267,8.28,14.17,12.26,Oct,24,73
Disney+,12010,13169,2886,112,6.02,Romance,1347,30.2,6834,63.58,6.14,66,96,97,55,3.34,98,4.76,25-34,12,United States,8.85,54757549,12.3,13.51,10.26,Oct,45,75
Disney+,9610,14761,3218,98,15.82,Comedy,1260,26.31,3229,86.8,8.19,71,79,71,56,2.47,95,4.76,18-24,29,Canada,8.22,50441915,7.57,27.36,11.04,Nov,52,36
Amazon Prime,14508,13576,4038,153,23.8,Documentary,151,10.79,686,67.51,6.25,79,81,75,55,2.75,98,3.98,25-34,16,United Kingdom,8.4,3601300,8.06,22.54,13.81,Sep,14,45
Netflix,14152,14888,4704,226,23.03,Horror,243,14.87,12132,84.63,7.36,86,84,79,57,2.19,100,4.8,55+,14,Germany,7.59,67390231,14.01,19.63,14.24,Sep,23,40
Amazon Prime,2164,4324,2400,227,20.93,Animation,1260,23.84,10992,61.28,7.32,77,76,82,56,3.21,72,3.11,25-34,30,Canada,8.27,31963380,19.88,11.81,17.39,Apr,34,56
Amazon Prime,16761,1135,4784,54,23.6,Comedy,611,55.93,3031,64.39,9.2,79,90,96,65,1.66,86,4.13,35-44,35,Japan,8.91,24403123,9.59,26.36,9.08,Jan,46,63
Disney+,5594,9328,4656,69,1.5,Animation,1372,41.73,16611,82.21,7.82,63,99,94,82,2.89,82,3.07,55+,28,United Kingdom,8.0,39632586,15.18,10.42,7.73,Aug,54,50
Netflix,16749,5210,3167,109,15.14,Drama,845,19.1,3383,62.92,6.41,70,77,95,64,2.13,95,3.13,25-34,35,France,7.91,5584018,12.09,26.55,5.69,Oct,17,58
Amazon Prime,2924,6103,730,35,33.68,Romance,1209,31.52,6050,70.25,6.6,77,71,69,80,1.52,74,3.97,45-54,19,Australia,7.51,29445224,8.95,12.04,11.22,Feb,42,35
Netflix,11696,1026,2268,65,25.9,Horror,435,43.03,7862,74.43,9.16,67,93,88,55,3.34,77,3.48,45-54,26,Canada,8.85,15498541,10.31,27.03,18.13,Sep,26,48
Disney+,10909,13740,4845,60,9.37,Documentary,1698,31.99,8934,72.49,6.99,89,83,87,66,1.64,82,4.52,18-24,24,Australia,8.13,4356460,17.39,14.98,19.78,Jan,6,29
Netflix,16044,14506,1597,98,33.28,Drama,1464,30.69,15826,76.79,6.39,75,82,96,81,3.97,72,3.33,18-24,27,India,8.31,61260315,8.88,10.72,5.91,Mar,44,31
Disney+,7027,7445,1250,134,26.91,Drama,1263,10.22,15817,88.77,7.62,87,88,82,97,1.25,76,4.83,35-44,8,Brazil,7.45,38449820,6.78,12.71,16.1,Aug,46,75
Disney+,11212,10586,1118,26,26.97,Documentary,799,25.56,10769,91.21,9.36,51,71,67,77,3.91,85,4.3,55+,18,India,8.18,6891690,13.16,18.88,10.87,Jun,14,52
Amazon Prime,4612,6360,4768,51,19.21,Comedy,1161,40.04,6909,73.36,6.5,89,70,92,75,2.76,95,4.13,45-54,30,Canada,7.6,60813959,11.34,27.56,12.18,Mar,18,34
Disney+,4628,6268,4936,137,33.95,Horror,1777,37.29,4012,91.75,7.57,53,98,74,69,1.11,76,3.42,45-54,28,India,8.75,16490154,8.96,24.73,19.23,Jun,49,52
Amazon Prime,13195,7233,1377,58,29.8,Comedy,365,40.4,17868,76.66,8.03,82,86,76,52,1.14,97,4.55,18-24,14,Germany,8.99,48851226,6.47,10.6,5.39,Apr,9,63
Amazon Prime,14002,7797,1891,56,24.56,Horror,418,29.48,4888,71.58,6.18,71,96,87,90,2.25,94,4.94,55+,7,Japan,7.13,68535572,6.02,16.29,13.17,Oct,34,28
Disney+,4939,9472,3944,195,10.81,Drama,1266,37.76,5415,92.12,7.02,77,87,95,75,4.45,97,4.81,18-24,31,Brazil,8.65,29096972,18.55,26.55,9.34,Apr,45,64
Netflix,2846,10211,3712,26,12.95,Action,1387,57.02,1006,63.14,7.93,55,79,96,75,2.7,86,3.38,25-34,10,Canada,8.05,36617538,13.5,25.63,8.55,Jun,9,60
Netflix,14146,2853,275,165,15.45,Documentary,728,33.4,13110,72.09,7.6,60,98,90,82,3.82,98,4.83,35-44,9,India,8.09,28422218,18.38,26.43,10.92,Jun,11,36
Disney+,14671,8599,4351,119,17.62,Animation,1439,10.88,13339,83.6,6.47,84,72,74,95,1.95,89,4.79,18-24,22,United States,7.45,64758253,11.58,20.77,10.01,Nov,33,52
Netflix,1141,12801,3563,42,0.7,Animation,1723,42.4,9774,78.93,8.01,64,71,82,81,1.23,90,3.81,35-44,7,Japan,8.9,64024031,14.49,21.25,19.49,Mar,17,38
Netflix,15231,7283,549,71,22.98,Animation,334,57.65,3190,71.98,7.21,69,99,93,82,1.78,89,4.99,45-54,26,France,7.96,52873284,8.16,11.97,10.71,Aug,49,69
Disney+,8415,8813,2717,56,13.7,Documentary,1481,55.13,17329,65.77,8.56,56,91,82,95,3.69,75,4.45,45-54,34,Brazil,7.38,13629287,14.61,22.55,14.4,Apr,29,70
Disney+,16957,2347,3262,34,18.21,Action,1363,8.22,5161,60.51,8.71,68,79,78,76,1.4,70,3.8,25-34,24,Japan,8.9,70556639,17.58,23.21,17.36,May,53,46
Disney+,1089,1261,3916,145,23.28,Horror,1686,19.44,505,92.58,8.2,82,93,81,69,1.43,94,3.63,55+,28,Brazil,7.26,40956159,13.12,21.12,12.52,Jan,13,62
Netflix,2364,3821,4029,6,23.79,Comedy,238,42.95,1418,80.94,7.15,68,97,76,73,3.77,81,3.13,45-54,12,United Kingdom,8.98,8187233,18.65,24.55,9.46,Jun,17,65
Netflix,16247,4527,569,127,11.63,Documentary,1264,15.76,2546,82.35,6.92,67,76,89,90,1.22,77,3.74,35-44,27,Australia,8.7,65720286,7.33,29.28,8.25,Apr,33,58
Amazon Prime,12956,5396,2399,166,12.32,Drama,1004,27.14,6665,87.72,8.61,76,89,80,66,1.12,79,3.95,25-34,27,South Korea,7.73,42876859,17.87,16.98,7.8,Mar,9,32
Disney+,16188,1079,1580,91,9.23,Documentary,279,48.49,7880,65.99,8.4,57,97,76,89,4.48,85,3.95,25-34,6,Japan,8.35,6973811,12.72,29.28,10.85,Sep,47,74
Amazon Prime,12406,7587,2735,190,23.59,Drama,1374,5.23,7189,92.36,7.89,85,76,68,92,2.82,80,4.39,35-44,13,United States,8.76,34100111,12.98,11.08,13.71,Apr,16,37
